,level_0,index,PLAYER_NAME,player_impact_estimate,GAME_COUNT
220,220,452,Shaquille Harrison,7.503236755520577,80
221,221,247,Jeremy Lin,7.4929668431750525,98
222,222,205,Ish Smith,7.453451585795352,60
223,223,375,Miles Bridges,7.450978325537534,82
224,224,176,George Hill,7.432149120169879,85
225,225,220,Jakob Poeltl,7.4194770078932475,88
226,226,39,Boban Marjanovic,7.407319794273736,91
227,227,73,Christian Wood,7.400615502070466,39
228,228,400,Omri Casspi,7.367902397688239,44
229,229,309,Kevin Knox II,7.349394215230304,75
230,230,52,Bruno Caboclo,7.317300911261516,34
231,231,364,Maxi Kleber,7.307422581785276,73
232,232,5,Alan Williams,7.154889142538414,10
233,233,68,Cheick Diallo,7.144987899494367,74
234,234,126,Devin Robinson,7.083582196614986,13
235,235,363,Maurice Harkless,7.033299609090475,83
236,236,103,Davis Bertans,7.0219496470573235,86
237,237,64,Chandler Hutchison,6.988679909031569,53
238,238,138,Dorian Finney-Smith,6.887356678973103,81
239,239,342,Luol Deng,6.86467060897129,61
240,240,432,Rodney McGruder,6.838346555806384,74
241,241,206,Ivan Rabb,6.807516160257272,76
242,242,454,Shelvin Mack,6.749541405682603,79
243,243,464,T.J. McConnell,6.742409261527872,94
244,244,351,Marco Belinelli,6.710252990286584,88
245,245,357,Markieff Morris,6.7065878807111226,65
246,246,184,Gorgui Dieng,6.653440752268563,80
247,247,227,James Johnson,6.634041816053575,63
248,248,223,Jamal Crawford,6.626808646823628,76
249,249,311,Kevon Looney,6.626131321558942,102
250,250,97,Danuel House Jr.,6.614596206782033,50
251,251,366,Meyers Leonard,6.613547636879333,98
252,252,378,Mitchell Creek,6.613191250112884,13
253,253,280,Josh Hart,6.550546322614873,71
254,254,59,Cameron Payne,6.534747875489648,47
255,255,410,Pau Gasol,6.519516584312412,45
256,256,350,Marcin Gortat,6.516305260313209,55
257,257,380,Mo Bamba,6.48473940253175,50
258,258,121,Derrick Jones Jr.,6.454640737429572,73
259,259,193,Henry Ellenson,6.445662926664625,34
260,260,508,Tyreke Evans,6.383292267269303,76
261,261,399,Omari Spellman,6.353474925601217,51
262,262,290,Justin Jackson,6.293764365676026,83
263,263,304,Kenrich Williams,6.2818975522633025,54
264,264,495,Trey Lyles,6.221031907407279,84
265,265,261,John Henson,6.175023844621651,14
266,266,312,Khem Birch,6.1342734826823095,87
267,267,396,Norman Powell,6.113510330564191,84
268,268,102,David Nwaba,6.097429280107295,56
271,271,430,Rodions Kurucs,6.014488964973667,80
272,272,388,Nerlens Noel,6.008370019470377,84
273,273,327,Lance Stephenson,5.954319954540056,75
274,274,31,Avery Bradley,5.886651590889799,66
276,276,13,Allen Crabbe,5.830836466395002,43
278,278,106,De'Anthony Melton,5.757809824499624,57
279,279,514,Vince Carter,5.723950729939855,81
280,280,435,Royce O'Neale,5.716964701676756,87
281,281,140,Dragan Bender,5.697675812345024,82
282,282,373,Mike Muscala,5.667638278110099,74
283,283,480,Tim Frazier,5.647316985284625,89
284,284,362,Matthew Dellavedova,5.64315052304018,62
285,285,443,Sam Dekker,5.615099262021693,68
286,286,356,Markelle Fultz,5.596178624341128,19
287,287,376,Miles Plumlee,5.586992665023719,29
288,288,510,Tyson Chandler,5.5789947829783,69
289,289,330,Langston Galloway,5.577277872635117,86
290,290,530,Yogi Ferrell,5.547215583999676,82
